stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
759538,"240","Merrimon Ave at Edgewood Rd","",35.619671,-82.554435,0,,0,,
759537,"239","Merrimon Ave at Larchmont Rd","",35.623318,-82.554727,0,,0,,
759536,"238","Merrimon Ave at Colonial Pl","",35.625453,-82.554152,0,,0,,
759564,"266","Merrimon Ave at Lakeshore Rd","",35.627099,-82.553218,0,,0,,
759563,"265","Merrimon Ave at Beaverdam Rd","",35.629019,-82.552844,0,,0,,
759562,"264","Beaverdam Rd at Kimberly Ave","",35.6347,-82.549798,0,,0,,
759561,"263","Beaverdam Rd at Elk Mountain Scenic Hwy","",35.636516,-82.547644,0,,0,,
759560,"262","Beaverdam Rd at Killian Rd","",35.638764,-82.542481,0,,0,,
759559,"261","Beaverdam Rd at Wild Cherry Rd","",35.64095,-82.540044,0,,0,,
759558,"260","Beaverdam Rd at Carter Cove Rd","",35.643155,-82.535561,0,,0,,
759557,"259","Beaverdam Rd at Faircrest Rd","",35.641727,-82.532293,0,,0,,
759556,"258","Beaverdam Rd at Valley Rd","",35.642049,-82.52898,0,,0,,
759555,"257","Valley Rd at Golden Living Center","",35.644076,-82.52807,0,,0,,
759554,"256","Beaverdam Rd at Valley Rd","",35.642161,-82.528855,0,,0,,
759553,"255","Beaverdam Rd at Wolfe Cove Rd","",35.641643,-82.531434,0,,0,,
759552,"254","Beaverdam Rd at Carter Cove Rd","",35.642742,-82.536578,0,,0,,
759551,"253","Beaverdam Rd at Sycamore St","",35.639536,-82.540668,0,,0,,
759550,"252","Beaverdam Rd at Timber Trail","",35.637522,-82.544046,0,,0,,
759549,"251","Beaverdam Rd at Elk Mountain Scenic Hwy","",35.636426,-82.547591,0,,0,,
759548,"250","Beaverdam Rd at Kimberly Ave","",35.634687,-82.549658,0,,0,,
759547,"249","Beaverdam Rd at Merrimon Ave","",35.629186,-82.552539,0,,0,,
759521,"223","Merrimon Ave at Ottari Rd","",35.628328,-82.552633,0,,0,,
759520,"222","Merrimon Ave at Gracelyn Rd","",35.625394,-82.553917,0,,0,,
759519,"221","Merrimon Ave at E Larchmont Rd","",35.623206,-82.554558,0,,0,,
759518,"220","Merrimon Ave at Edgewood Rd","",35.620283,-82.554273,0,,0,,
759517,"219","Merrimon Ave at Murdock Ave","",35.616324,-82.554477,0,,0,,
759507,"209","Merrimon Ave at Coleman Ave","",35.613032,-82.55504,0,,0,,
